势力名称	势力基础设定	角色名	子阵营	对应身份	IP定位	出场节点	角色样貌	角色基础设定	特殊的元素	「一句话」标签	EN														
		杰瑞西⏎Jercie	无⏎None	学院老师⏎Academy Instructor 		B1-主线⏎B1 Main Storyline 	 	· 性别：女⏎Gender: Female⏎· 年龄：31⏎Age: 31⏎· 外貌特征：⏎                    精密严谨的教导主任装扮，收敛古板的中青年女性感受。有些闷骚的感觉，隐藏著内心的活泼爱冒险。⏎                    对星星魔法非常纯熟，从平凡的外表完全看不出，意外地非常厉害！⏎Appearance:⏎Dressed in precise, rigorous attire, like only a Dean of Students can, she projects the image of a reserved and old-fashioned middle-aged woman. There is a sense of closet-eccentricity about her, a subtle hint that she hides a lively and adventurous heart beneath her professional exterior. She is exceptionally skilled in Starry Magic; one would never guess from her unassuming appearance that she is, in fact, remarkably powerful!⏎· 性格特征：⏎                    对基础训练非常重视，作为基础课老师，经常会唠唠叨叨，带点教导主任的感觉。⏎                    从年轻时的爱慕虚荣过度到了坚毅、内心平静，并收敛锋芒潜心磨练的角色，因此给人感受有点古板。⏎                    但因为本质上还是个活泼爱冒险的人，所以经常会绷不住，出现搞笑的桥段。⏎Personality:⏎She places immense value on fundamental training; as a foundational skills teacher, she can be a bit of a nag, carrying that distinct Dean of Students energy. Having transitioned from a vain youth to a woman of grit and inner peace, she now conceals her brilliance to focus on quiet self-improvement—a transformation that often makes her appear a bit stiff. However, because she is still a lively adventurer at heart, she frequently fails to maintain her serious facade, leading to plenty of comedic moments⏎· 重要过往：⏎                    曾经年少时爱冒险，基础不好便糊里糊涂出去冒险，在冒险的过程中涉险。幸而被星耀独角兽救下。⏎                    意气相投的独角兽，借给杰瑞西“星星魔法”，以期让她注意保护自己。⏎                    杰瑞西非常爱慕虚荣，想要在众人面前大肆炫耀星星魔法，想不到星星魔法却失效了，因此出糗。⏎                    失去了星星魔法的加持，杰瑞西潜心磨练自己，最终凭借日复一日的锻炼，自力成为了星星魔法大师。⏎                    因此，杰瑞西当老师后，非常注意指导学生的魔法基础，希望大家认识到旅途中非常危险，不能想当然地应对。⏎                    在那之后，独角兽和她的关系也逐渐转好，更像是有点距离的挚友，会默默保护她不涉险。⏎                    可以借助星耀独角兽达成特殊的魔法——如：空间魔法的使用⏎Backstory: In her youth, her thirst for adventure far outweighed her skills. She recklessly set out on a journey with a poor understanding of the basics and quickly found herself in mortal danger. Fortunately, she was rescued by an Auridra. Sensing a kindred spirit, the Auridra lent its Starry Magic to Jercie, hoping it would help her protect herself. However, driven by vanity, Jercie tried to flaunt this borrowed power before a crowd, only for the magic to fail, leaving her utterly humiliated. After losing the Auridra's blessing, she dedicated herself to rigorous training, eventually becoming a Starry Magic master through sheer, persistent effort. Now a teacher, Jercie is obsessed with her students' fundamentals, warning them that the world is a dangerous place where one cannot rely on luck or assumptions. Over time, her bond with the Auridra hpmended; they are now like distant best friends, with the Auridra silently watching over her. Through their connection, she can even perform extraordinary feats, such as Space Magic	· 古板的打扮，看起来有点难缠的教导主任形象⏎· 看似搞笑的教鞭，实则是超级厉害的星星魔法法杖⏎· 关系好的精灵——星耀独角兽		Of all the Academy teachers, she seems to be the most fussy. She places immense importance on training, so she should have a nagging tone, like a strict Dean. A lot of exclamation marks should be used when she's going off on the students.⏎She has evolved from a vain youth to a resilient woman with inner peace, so she does come off stiff and old-fashioned.⏎However, despite this, she is still a young adventure at heart.  She let's her serious facade slip many times, creating very humorous moments. She should seem a bit flustered when she does, at these points, ellipses work best.⏎⏎⏎⏎														
		芙蕾雅⏎Freya	精灵王⏎Jini Sovereign	学院创始人⏎Founder of the Magic Academy 		B1-主线⏎B1 Main Storyline 	 	· 性别：女⏎Gender: Female⏎· 年龄：1800⏎Age: 1800⏎⏎  幻系精灵王，亦是魔法学院的初代校长，因奇特的经历，成为半人半龙的存在；⏎  虽长着少女面貌，但真实的年龄已经千余岁，所以说话有一种老气横秋的感觉。⏎⏎A Jini Sovereign of Stellar-class Magic and the founding Headmaster of the Magic Academy; due to a peculiar twist of fate, she exists as a half-human, half-dragon being. Though she possesses the appearance of a young girl, her true age exceeds a thousand years, giving her a manner of speaking that is world-weary and archaic⏎⏎  小孩状态的她：因为失去了记忆而变得呆萌，有对绩点的天然的渴望，有点暴力（力气超大）但不自知。⏎⏎Freya as a small child: Due to her memory loss, she has become quite airheaded and dorky, yet she possesses a natural, instinctive craving for a high GPA. She has a bit of a violent streak as she possess immense physical strength, though she is completely unaware of her own power⏎⏎  收复所有记忆长大的她：变得沉稳了许多，冷静独断，有些淡漠，但强势的那一面深入骨子里，不会改变；⏎⏎  在灾变之战时期的「学院保卫战」中，芙蕾雅曾经为了保护受袭的同学们而牺牲了自己；⏎  在最后的时刻，她封存了自己的部分力量与记忆，等待未来某天，有人能得到这份传承，彻底解除噩梦的危机。⏎⏎Freya when she gets her memory back: She becomes far more composed, calm, decisive, and somewhat detached yet her inherent strength remains etched into her very core, unyielding as ever. During the defense of the academy in the era of the great catastrophe, Freya sacrificed herself to protect her classmates from an onslaught. In her final moments, she sealed away a portion of her power and memories, waiting for the day someone might inherit her legacy and finally bring an end to the Nightmare 			Without her memories, she is clumsy, extremely vulnerable, and innocent. She makes the people around her want to take care of her and protect her, this feeling should be conveyed in the dialogue. Ellipses can be used when she's nervous and unsure. She's doesn't shout much, so not too many exclamation marks.⏎However, she is still immensely strong and can be violent without realizing.⏎One of the only times, she seems a bit more certain is when she's obsessing over her grades.⏎With her memories, she is calm, composed, and assertive. A complete 180. She even seems indifferent but only because she knows she is one of the strongest ever. Less ellipses and more exclamation marks in contrast to her other self.⏎														
		噜噜⏎Mr. Hoolu	噜噜家族⏎Hoolu Clan	魔法信使⏎Magical Courier	VIP跟随精灵⏎吉祥物之一⏎A VIP Following Jini that Serves as a Mascot	序章，A1-主线⏎Prologue, A1 Main Storyline	 	· 性别：男⏎Gender: Male⏎· 年龄：50⏎Age: 50⏎· 现实/神话原型：海德薇⏎Mythological Origin: Hedwig⏎⏎· 外观特征：⏎                   和无数学院的魔法猫头鹰一样，个性的从来不是它们的外观，而是充满服务意识的性格。⏎Appearance:⏎Like the countless other magical owls of the academy, what defines them is never their physical appearance, but rather their profound sense of service⏎· 性格特征：⏎                   绅士风度，热心而又十分有礼貌，一口倍儿正宗的英国伦敦腔，揭示了它绅士的自我认知；⏎                   充满服务精神，对待服务于小魔法师的工作勤勤恳恳，再苦再累都不会有怨言，令人动容。⏎Personality:⏎Possessing a true gentleman’s flair, he is warm-hearted and impeccably polite; his pitch-perfect London accent reveals a deep-seated self-identity as a refined gentleman. Driven by an unwavering spirit of service, he is tireless in his duties to the young mages. His diligent, hardworking nature—never uttering a single word of complaint no matter how grueling the task—is truly moving⏎· 重要过往：⏎                   去年在学院内部的最佳猫头鹰评选中，荣获「五星向导」的殊荣，从此更加努力地激励自己工作。⏎Backstory: In last year's academy-wide Best Owl awards, he was honored with the prestigious title of Master Guide. Since then, he has pushed himself to work even harder, using the accolade as constant inspiration	· 魔法猫头鹰是个庞大的家族，不同颜色的猫头鹰各具本领⏎· 如果LULU和某只小同学特别聊得来，可以缔结契约⏎· LULU是罕见的、不愿进入咕噜球中生活的精灵之一		Academic, Clumsy, Animated, Father-figure⏎⏎As the first character the player interacts with, Mr. Hoolu's lovable yet clumsy nature is on display, it is even a plot point for one of the player's first missions. However, as an esteemed member of the Hoolu family and master guide, he does command respect. He has an eloquent way with words, more so than most characters and cares for the player much like a father														
		费得⏎Fedor					 	· 性别：男⏎Gender: Male⏎· 年龄：14⏎Age: 14⏎· 外貌特征：⏎脏兮兮的小男孩，有自己的审美，喜爱暴力和明亮欢快的东西。⏎对冒险和耍酷很感兴趣，所以有自己的穿搭（混搭），偏向于牛仔和蒸汽朋克结合的风格。⏎Appearance:⏎A scruffy little boy with a distinct aesthetic of his own, he has a penchant for both rough-and-tumble action and things that are bright and cheerful. Fueled by an interest in adventuring and looking cool, he has developed his own signature look—a mashup style that leans heavily into a fusion of Cowboy and Steampunk elements⏎· 性格特征：⏎留守儿童，性格狂躁，崇拜暴力美学，用此来消解内心层层叠叠的孤独。⏎讲究兄弟义气，很迷恋做大哥庇护他人的感觉。⏎思想简单，一切都用拳头解决，在这个以精灵力量胜负的世界，倒也有一番独自的美学。⏎Personality:⏎He is a child who grew up without his parents around with a volatile temperament. He worships the aesthetic of violence as a way to dissolve the layers of profound loneliness within him. He lives by a strict code of brotherhood, obsessed with the feeling of being a big brother who protects others. Simple-minded and prone to solving every problem with his fists, he has carved out his own unique philosophy in a world where Jini duels usually decide everything⏎· 重要过往：⏎在村子里长大的留守儿童。⏎手下有同样留守的红波绿波，作为威风组的老大，费得在组织内部具有绝对权威。⏎该角色对人鱼湾有着深厚的感情，保护它的目的是希望父亲能看到人鱼湾的美景⏎Backstory: An abandoned child who grew up in the village, Fedor serves as the leader of the Majesty Squad, where he wields absolute authority over his subordinates, Redd and Greene—who were also abandoned. He harbors a deep, profound affection for Mermaid Bay; his true mission in protecting it is the hope that, one day, his father will finally return to behold its breathtaking beauty			A lonely kid at heart with a violent temperament. In a world full of magic, he chooses to solve matters with his fist, giving him a more unique vibe.⏎Abrasive and provoking language should be used, like that of a young street thug who doesn't know any better.⏎For those he does like, he is fiercely loyal and tries his best to come off like a big brother. Lots of exclamation marks should be used.														
		红波蓝波⏎Redd/Greene					 	· 性别：男⏎Gender: Male⏎· 年龄：14⏎Age: 14⏎· 外貌特征：⏎脏兮兮的小男孩，有自己的审美，喜爱暴力和明亮欢快的东西。⏎对冒险和耍酷很感兴趣，所以有自己的穿搭（混搭），偏向于牛仔和蒸汽朋克结合的风格。⏎Appearance:⏎Scruffy little boys with distinct aesthetics of their own. They have a penchant for both rough-and-tumble action and things that are bright and cheerful. Driven by a passion for adventure and looking cool, They have a signature style—an eclectic mashup that blends Western cowboy grit with a Steampunk edge⏎· 性格特征：⏎留守儿童，性格狂躁，父母长年在外工作，与奶奶相依为命。虽然在学校很调皮捣蛋，但对奶奶十分孝顺。在费得的带领下崇拜暴力美学，用此来消解内心层层叠叠的孤独。⏎讲究兄弟义气，很迷恋“匡扶正义”，用拳头打天下的感觉。其实是在过家家一样。⏎费得说得对！没什么主见，但讲义气，热血少年。⏎Personality:⏎Abandoned children with volatile temperaments, they lived with their grandmother while their parents worked away from home for years at a time. Although they are notorious troublemakers at school, they are deeply devoted and filial to their grandmother. Under Fedor's leadership, they have come to worship the aesthetic of violence as a way to dispel the layers of profound loneliness within them⏎They are fiercely loyal to their friends and are obsessed with the idea of upholding justice, dreaming of conquering the world with their fists—though in reality, it’s mostly just a game of make-believe. They rarely have a mind of their own, always following Fedor’s lead with a passionate 'Fedor is right!' At their hearts, they are hot-blooded youths who live for their comrades.⏎· 重要过往：⏎在村子里长大的留守儿童，非常思念自己去彼得大道务工的父母。⏎看起来强硬，实则脆弱。⏎Backstory: Abandoned children raised in the village. They deeply miss their parents, who are away working on Peter Avenue. Though they put on a tough and unyielding front, they are, in reality, quite fragile.			Much like Fedor, he has lived his live away from his parents, so is hiding a deep loneliness. He is manic and violent, and is a well-known troublemaker. However, without his parents around, he has depended on his grandmother most of his life and is extremely devoted to her, only caring what she thinks.⏎He sees Fedor as a mentor and listens to everything he says. He also follows Fedor's methods of carrying out justice with fists and will defend his friends to no end. Much like Fedor, he should have the vibe of a classic abrasive shounen protagonist, hot-blooded and impulsive. Many exclamation marks can be used.														
		卡普⏎Kap					 	· 性别：男⏎Gender: Male⏎· 年龄：14⏎Age: ⏎· 外貌特征：⏎穿着类似哥哥风机委员会的制服，看起来有点高傲和孤僻。⏎优雅的贵族穿搭，和暴躁的发型，搭配出一个比较叛逆的小刺头形象。⏎Appearance:⏎Dressed in a student council-style uniform with a haughty, loner vibe. He's got an elegant noble aesthetic mixed with angry hair, pulling off that rebellious, edgy look perfectly⏎· 性格特征：⏎自尊心爆炸强，想要孔雀开屏地证明自己。⏎其实源于内心的自卑，被优秀的哥哥卡门盖过了全部光芒，难以发现自己的优势。⏎有点爱慕虚荣和面子，但骨子里是少年的倔强。⏎Personality:⏎Driven by an overinflated ego and a desperate need for validation, he strives to outshine everyone. This bravado masks a profound inferiority complex born from being overshadowed by his perfect brother, Carmen. Despite his vanity and thirst for status, he possesses a gritty, youthful determination that won't let him back down⏎· 重要过往：⏎莫扎特家族的成员，以后一个完美的精英哥哥莫扎特·卡门；⏎跟随在卡门阴影下，无论如何努力也难以超越的无力感。⏎虽隶属于莫扎特家族，但卡普对家族的行事风格却并不认同，未来必将改过自新，走上正确之路。⏎Backstory: As a Mozart, Kap is constantly measured against his perfect older brother, Carmen. He struggles with a profound sense of futility, unable to outshine Carmen regardless of his efforts. However, Kap doesn’t align with the family’s questionable values. His arc is one of transformation—moving from a place of vanity and immaturity toward a future where he reforms and chooses the right path			A classic show-off with a huge amount of self-esteem, always boasting and trying to prove that he is better than everyone.⏎However, this stems from living in the shadow of his exceptional older brother, so he is more exasperating than annoying. He speaks confidently and is not afraid to take on a challenge, but when it doesn't go his way, he can fuddle through his words in an attempt to save face, giving him some humorous moments.⏎At his core, he's just a stubborn kid, who never gives up, so emphasis should be put on his never give up attitude and not on his peacocking in serious moments. Moderate amounts of exclamation marks and ellipses can be used.														
		莎莉⏎Sally					 	· 性别：女⏎Gender: Female⏎· 年龄：16⏎Age: 16⏎· 外貌特征：⏎衣着风格感鲜明，是莎莉自己的时尚追求，喜欢轻飘飘、柔软和充满幻想感的装扮。⏎感受上有着女孩子的少女心和小孩子对未知的冒险追求，魔法感很强的角色。⏎Appearance:⏎Sally possesses a distinct and vivid sense of style that reflects her personal fashion philosophy. She adores clothing that is airy, soft, and steeped in fantasy. Her aesthetic captures the delicate heart of a young girl combined with a child-like hunger for adventure into the unknown—a character radiating a powerful sense of magic⏎· 性格特征：⏎玲珑机灵，解语花一般的存在，机灵古怪，因此和可丽希亚玩的来。                   ⏎可丽希亚公主的侍女和好闺蜜，是页游远古剧情的重要角色，通常只在相关剧情中登场。⏎Personality:⏎Smart, witty, and deeply empathetic, she shares a playful and eccentric bond with Princess Clarissa. Serving as both the Princess’s attendant and closest friend, she is a vital character from the game’s early lore, usually making exclusive appearances in related historical plotlines⏎· 重要过往：⏎她曾是服装店店主，后来成为公主的贴身侍女，性格忠心、温柔.⏎但因公主的身份高贵，常常会感受到“被指手画脚”的尴尬局面。⏎Backstory: Formerly a boutique owner, she eventually became the Princess's personal attendant. While she is deeply loyal and gentle by nature, the Princess’s high-born status often puts her in awkward positions where she feels ordered around or micromanaged			She is exceptionally clever and quick-witted, almost like she knows what everyone is thinking. She resembles the servants in popular TV and anime that seem to be smarter than their masters but likes to keep it hidden.⏎She is also mischievous and quirky which is why she gets along well with Princess Clarissa. She should have intelligent yet funny dialogue; the kind where some might have to read twice. 														
		精灵调查团长		纯原创，签到活动用⏎An Original Character for the Daily Log-in Event			 	. 性别：男⏎Gender: Male⏎· 年龄：20⏎Age: 20⏎· 外貌特征：⏎长相豪放粗犷，冒险感和野生感强，力量感强。⏎Appearance:⏎Rugged and bold features; strong wild and adventurous aesthetic; possesses a powerful, muscular build⏎· 性格特征：⏎胆大心细，不畏困难。风风火火的有点粗心。⏎因为自己对独特和孤独感同身受，所以格外喜欢珍稀精灵，决定不辞万里也要寻找他们。⏎但是自己的力量有限，决定成立社团，动员大家的力量。⏎Personality:⏎He is bold yet attentive, facing hardships without fear. Though his fiery, full-steam-ahead nature can sometimes lead to moments of carelessness. Because he knows the sting of being different and lonely, he has a special bond with rare Jinies and is determined to travel thousands of miles to find them. Realizing his own strength has limits, he decided to form a club to mobilize everyone’s collective power⏎· 重要过往：⏎珍稀精灵调查团的团长，魔法学院的学生⏎从小没有家人，把精灵视为家人一样的存在。⏎Backstory: The Founder of the Rare Jini Seekers Squad and a student at the Magic Academy. Having grown up without a family, he views Jinies as his true kin, cherishing them as if they were his own flesh and blood			A fiery, bold, yet meticulous man with a great love for rare Jinies. He leads students in searches for Jinies, knowing that he cannot do everything alone and advises lonely students to think of Jini as family. He's a well-natured and caring mentor, though his love for searching for Jinies and fiery persona can lead to carelessness. In general, calm yet passionate language should be used with minimal exclamation marks.⏎														
王国城堡⏎The Citadel	皇室贵族，骑士文化	亚瑟（盔甲版）⏎Arthiel	皇室贵族⏎Royalty	先王⏎Sir		A1主线⏎A2-1主线⏎A1 Main Storyline⏎A2-1 Main Storyline	 	⏎· 性别：男⏎Gender: Male⏎· 年龄：30（外貌上）⏎Age: 30⏎· 外貌特征：⏎和主角的面相有一定的相似之处，部分还原页游，但页游的形象是当上亚瑟王之后了，这里是一个青年版本的⏎服装制式为盔甲，看起来和壁画所绘类似，配色也是一样。可能会给玩家发保护头盔和斗篷的时装，这两点和⏎模型中的两点是一致的。⏎Appearance:⏎Sharing a striking resemblance to the MC, this is a younger version of the character seen in the early game (where he had already become King Arthiel). He wears a signature set of armor that perfectly matches the historical murals. In-game, he may gift players a protective helmet and cloak, both of which are directly modeled after his own distinctive gear⏎· 性格特征：⏎坚定勇敢，似乎是完美的角色，真诚善良，吸引精灵王陪伴在他左右。⏎实力很强，深不见底，一个符号化的角色。⏎Personality:⏎Steadfast and brave, he is a perfect character whose innate goodness attracts Jini Sovereigns to accompany him. His power is endless and overwhelming; he functions as a symbolic icon within the world rather than just a common warrior⏎· 重要过往：⏎旧时被玛丽在宫廷中排挤，吃尽了苦头，但最终推翻了紫雀花王朝的残酷统治，迎来了洛克王国的纪元。⏎Backstory: In the days of old, he was marginalized and persecuted by Mary within the royal court, enduring untold hardships. Ultimately, he rose to overthrow the cruel reign of the Violaethran Dynasty, ushering in the glorious new era of the Roco Kingdom	 		The epitome of courage in this world, a perfect hero and king. All Jinies love him and the Jini Sovereigns never wanted to leave his side. He is exceptionally kind and gentle, yet wields unfathomable power. He must speak like a caring and all-knowing father at most times. A bit of humor is good, but it should not be the main focus. No exclamation marks or ellipses if possible; he is always calm and strong.⏎														
		圣安德鲁⏎Aindreas	皇室贵族⏎Royalty	国王⏎King		A2-1主线⏎A2-1 Main Storyline 	 	⏎· 性别：男⏎Gender: Male⏎· 年龄：51⏎Age: 51⏎· 外貌特征：⏎圣安德鲁尊贵的装扮上，偶尔会出现一些不易发现的可爱装饰，透露着这位长者活泼的内心。（也可能是可丽希亚偷偷放上去的）⏎Appearance:⏎Upon King Aindreas's noble and dignified attire, one might occasionally spot subtle, hidden touches of cuteness, tiny decorations that reveal the elder's lively inner spirit. (Though, in truth, they might just be little surprises secretly planted there by Princess Clarissa.)⏎· 性格特征：⏎为如今的王国鞠躬尽瘁，是个很富有负责心的国王。⏎但天生便缺乏治理的才能，所以常常做出一些并不高明的决策来。⏎威严的模样下，却有着不为人知的玩闹之心。尤其在女儿面前，偶尔表现出有趣的一面。（本质上是个老顽童）⏎Personality:⏎A devoted ruler who gives his all to the kingdom, driven by a profound sense of duty. Despite his best efforts, he lacks a natural gift for politics, often leading to questionable decision-making. Though he maintains a dignified aura, he harbors a secret love for fun and games—an old soul with a young heart who shows his funniest side to his beloved daughter.⏎· 重要过往：⏎除了作为君王的严谨，圣安德鲁还很幽默，爱热闹、爱玩。⏎他最大的爱好是视察王国，微服出巡；却常常因此遭遇意外。⏎圣安德鲁的精灵，是自幼就陪伴他长大的草头大眼鸭。（长得有点滑稽，但他并不嫌弃）⏎Backstory:⏎King Aindreas balances his royal duties with a humorous, fun-loving personality. He loves nothing more than wandering his kingdom in disguise, though his incognito tours frequently end in hilarious mishaps. His Jini is a duck that grew up with him. Despite the Jini’s goofy and slightly ridiculous look, King Aindreas remains its most devoted and unashamed companion.			Much like Griffin, he is an important old man in this world with the soul of a kid. He is incredibly humorous and loves playing around, especially around his daughter. Though, he is still a responsible monarch, fully dedicated to the kingdom. However, he does not quite have the talent to govern a kingdom, so his plans don't always work out. In general, he should be more jovial and light hearted than most characters, but still have the air of a respected king. He is not clumsy but playful, it his schemes not actions per say that lead to mishaps.⏎														
